Name,Speciality,Degree,State,City,More Details
buy cialis online overnight shipping,Geriatric Medicine Specialist,purchase cialis online,Assam,,
Dr. Agrawal Ajit,Geriatric Medicine Specialist,"MBBS, MD (Medicine)",West Bengal,Kolkata,https://www.drdata.in/drajitagrawal-geriatricspecialist
Dr. Hussain Syed Aamir,Geriatric Medicine Specialist,"MBBS, DGM",Madhya Pradesh,Bhopal,https://www.drdata.in/drsyedaamirhussain-geriatricspecialist
Dr. Joshi Shubhanjal,Geriatric Medicine Specialist,"MBBS, MD, PGDGM",Madhya Pradesh,Bhopal,https://www.drdata.in/drshubhanjaljoshi-geriatricspecialist
Dr. Kumar Sushil,Geriatric Medicine Specialist,"MBBS, PGDGM",Madhya Pradesh,Umaria,https://www.drdata.in/drsushilkumar-geriatricspecialist
Dr. Mishra Sujay,Geriatric Medicine Specialist,"MBBS, PGDGM",Madhya Pradesh,Jabalpur,https://www.drdata.in/drsujaymishra-geriatricspecialist
Dr. Pande Raj Shekhar,Geriatric Medicine Specialist,"MBBS, MD (Physiology) FCCP, FICA, DCAM, PGDGM",Madhya Pradesh,Jabalpur,https://www.drdata.in/list-doctors.php?specialization=Geriatric%20Medicine%20Specialist&page1#
Dr. Pande Raj Shekhar,Geriatric Medicine Specialist,"MBBS, MD (Physiology) FCCP, FICA, DCAM, PGDGM",Madhya Pradesh,Jabalpur,https://www.drdata.in/list-doctors.php?specialization=Geriatric%20Medicine%20Specialist&page1#
Dr. Patel Nilesh,Geriatric Medicine Specialist,"MBBS, PGDGM, DAC",Madhya Pradesh,Indore,https://www.drdata.in/drnileshpatel-geriatricspecialist
Dr. Sengupta Priyadarshani,Geriatric Medicine Specialist,"MBBS, PGDGM, FCGP, FRHS",Madhya Pradesh,Satna,https://www.drdata.in/drpriyadarshanisengupta-geriatricspecialist
Dr. Shrivastava Ritesh,Geriatric Medicine Specialist,"MBBS, PGDGM",Madhya Pradesh,Raisen,https://www.drdata.in/drriteshshrivastava-geriatricspecialist
Dr. Tiwari P.C.,Geriatric Medicine Specialist,"MBBS, PGDGM",Madhya Pradesh,Jabalpur,https://www.drdata.in/drpctiwari-geriatricspecialist
