Name,Speciality,Degree,State,City,More Details
Prof Dr vijay kumar prasad,Psychologist-Clinical,CLINICAL PSYCHOLOGY RESEARCH,Bihar,Madhubani,
Dr. Bhatara Kamal,Psychologist-Clinical,Ph.D Psychology,Madhya Pradesh,Jabalpur,https://www.drdata.in/drkamalbhatara-psychologist
Dr. Bhatia Renu,Psychologist-Clinical,PhD (Psychology),Delhi,New Delhi,https://www.drdata.in/drrenubhatia-psychologist
Dr. Daliboina Muralidhar,Psychologist-Clinical,PhD (PSW),Karnataka,Bangalore Urban,https://www.drdata.in/drmuralidhardaliboina-psychologist
Dr. E. Nazeer,Psychologist-Clinical,PhD (PSW),Kerala,Alappuzha,https://www.drdata.in/drnazeere-psychologist
Dr. Gandhi Sailaxmi,Psychologist-Clinical,PhD (PSW),Karnataka,Bangalore Urban,https://www.drdata.in/drsailaxmigandhi-psychologist
Dr. H. Sobhana,Psychologist-Clinical,PhD (PSW),Karnataka,Bangalore Urban,https://www.drdata.in/drsobhanah-psychologist
Dr. Hamza Mohd. Ameer,Psychologist-Clinical,PhD (PSW),Karnataka,Bangalore Urban,https://www.drdata.in/drmohdameerhamza-psychologist
Dr. Khan M. Haroon,Psychologist-Clinical,"BHMS, M.Phil (Psychology)",Madhya Pradesh,Jabalpur,https://www.drdata.in/drmharoonkhan-psychologist
Dr. Khasgwala Aruna,Psychologist-Clinical,PhD (PSW),Gujarat,Vadodara,https://www.drdata.in/drarunakhasgwala-psychologist
Dr. Mathew Suseela,Psychologist-Clinical,PhD (PSW),Kerala,Thiruvananthapuram,https://www.drdata.in/drsuseelamathew-psychologist
Dr. Mathur Preeti,Psychologist-Clinical,Ph.D (Psychology),Madhya Pradesh,Bhopal,https://www.drdata.in/drpreetimathur-psychologist
Dr. Misra Arun Kumar,Psychologist-Clinical,PhD (PSW),Chandigarh,Chandigarh,https://www.drdata.in/drarunkumarmisra-psychologist
Dr. Modi Rupa,Psychologist-Clinical,"MA, Ph.D (Psycho.)",Madhya Pradesh,Indore,https://www.drdata.in/drrupamodi-psychologist
Dr. Mohanty Sandhyarani,Psychologist-Clinical,PhD. Psychology,Uttar Pradesh,Agra,https://www.drdata.in/drsandhyaranimohanty-psychiatrist
Dr. Mrs. Masand Nadia,Psychologist-Clinical,"Ph.D (Psycho.), MA (Psycho.)",Madhya Pradesh,Indore,https://www.drdata.in/drmasandnadiamrs-psychologist
Dr. Murthy Suman K.,Psychologist-Clinical,PhD (PSW),Karnataka,Mysore,https://www.drdata.in/drsumankmurthy-psychologist
Dr. Nagarajaiah K.,Psychologist-Clinical,PhD (PSW),Karnataka,Bangalore Urban,https://www.drdata.in/drknagarajaiah-psychologist
Dr. Nirmala B.P.,Psychologist-Clinical,PhD (PSW),Karnataka,Bangalore Urban,https://www.drdata.in/drbpnirmala-psychologist
Dr. Parthasarathy R.,Psychologist-Clinical,PhD (PSW),Karnataka,Bangalore Urban,https://www.drdata.in/drrparthasarathy-psychologist
Dr. Prakash Chandran A.,Psychologist-Clinical,PhD (PSW),Kerala,Ernakulam,https://www.drdata.in/drchandranaprakash-psychologist
Dr. Prasad Swati,Psychologist-Clinical,"M.Phill, Ph.D (Psychology)",Madhya Pradesh,Indore,https://www.drdata.in/drswatiprasad-psychologist
Dr. Priyamvada Richa,Psychologist-Clinical,"M.Phil (Medical & Social Psychology), PhD.",Madhya Pradesh,Bhopal,https://www.drdata.in/drrichapriyamvada-psychologist
Dr. Rajaram Prakashi,Psychologist-Clinical,PhD (PSW),Karnataka,Bangalore Urban,https://www.drdata.in/drprakashirajaram-psychologist
Dr. Rao Gunasagari,Psychologist-Clinical,PhD (PSW),Karnataka,Udupi,https://www.drdata.in/drgunasagarirao-psychologist
Dr. Reddy N. Krishna,Psychologist-Clinical,PhD (PSW),Karnataka,Bangalore Urban,https://www.drdata.in/drnkrishnareddy-psychologist
Dr. Saxena Akhilesh Kumar,Psychologist-Clinical,Ph.D Psychology,Madhya Pradesh,Jabalpur,https://www.drdata.in/drakhileshkumarsaxena-psychologist
Dr. Sharma Neha,Psychologist-Clinical,PhD Psychology,Madhya Pradesh,Jabalpur,https://www.drdata.in/drnehasharma-psychologist
Dr. Thangarajan Cecilia,Psychologist-Clinical,PhD (PSW),Tamil Nadu,Chennai,https://www.drdata.in/drceciliathangarajan-psychologist
Dr. Thirumoorthy A.,Psychologist-Clinical,PhD (PSW),Karnataka,Bangalore Urban,https://www.drdata.in/drathirumoorthy-psychologist
Dr. Tripathi Sanjeev,Psychologist-Clinical,M.Phill (Psycho.),Madhya Pradesh,Indore,https://www.drdata.in/drsanjeevtripathi-psychologist
Dr. Varghese Sany,Psychologist-Clinical,PhD (PSW),Kerala,Kottayam,https://www.drdata.in/drsanyvarghese-psychologist
Dr. Verma Avantika,Psychologist-Clinical,Ph.D (Psychology),Madhya Pradesh,Jabalpur,https://www.drdata.in/dravantikaverma-psychologist
Dr. Vranda M.N.,Psychologist-Clinical,PhD (PSW),Karnataka,Bangalore Urban,https://www.drdata.in/drmnvranda-psychologist
Mr. Acharya M.K.,Psychologist-Clinical,M.Phil (Psycho.),Madhya Pradesh,Indore,https://www.drdata.in/mkacharya-psychologist
Mrs. Kirti Saini,Psychologist-Clinical,Diploma in Clinical Psychology,Madhya Pradesh,Jabalpur,https://www.drdata.in/kirtisaini-psychologist
Mrs. Shrivastava Sudha,Psychologist-Clinical,Diploma in Psychology,Madhya Pradesh,Bhopal,https://www.drdata.in/sudhashrivastava-psychologist
